ID	Concept	Dashi	Ega	Enqi	Eryuan	Gongxing	Heqi	Jianchuan	Jinman	Jinxing	Lanping	Luobenzhuo	Mazhelong	Qiliqiao	Tuoluo	Xiangyun	Yunlong	Zhoucheng
626	to borrow (tools)	to borrow (tools)	to borrow (tools)	to borrow (tools)	-	to borrow (tools)	-	-	to borrow (tools)	to borrow (tools)	-	-	to borrow (tools)	-	to borrow (tools)	-	-	to borrow (tools)
627	to burn	to burn	to burn	to burn	-	to burn	-	-	to burn	to burn	-	-	to burn	-	to burn	-	-	to burn
628	to change	-	to change	to change	-	to change	-	-	to change	to change	-	-	to change	-	to change	-	-	to change
629	to comb	to comb	to comb	-	-	-	-	-	to comb	to comb	-	-	to comb	-	to comb	-	-	to comb
630	to cough	to cough	to cough	to cough	-	to cough	-	-	to cough	to cough	-	-	to cough	-	to cough	-	-	to cough
631	to hook	to hook	to hook	to hook	-	-	-	-	to hook	to hook	-	-	to hook	-	to hook	-	-	to hook
632	to leak	to leak	to leak	to leak	-	to leak	-	-	to leak	to leak	-	-	to leak	-	to leak	-	-	to leak
633	to owe (monez)	to owe (monez)	to owe (monez)	to owe (monez)	-	to owe (monez)	-	-	to owe (monez)	to owe (monez)	-	-	to owe (monez)	-	to owe (monez)	-	-	to owe (monez)
634	to pen in (sheep)	to pen in (sheep)	to pen in (sheep)	to pen in (sheep)	-	to pen in (sheep)	-	-	to pen in (sheep)	to pen in (sheep)	-	-	to pen in (sheep)	-	to pen in (sheep)	-	-	to pen in (sheep)
635	to plait	to plait	to plait	to plait	-	to plait	-	-	to plait	to plait	-	-	to plait	-	to plait	-	-	to plait
636	to poke; insert	to poke; insert	to poke; insert	to poke; insert	-	to poke; insert	-	-	to poke; insert	to poke; insert	-	-	to poke; insert	-	to poke; insert	-	-	to poke; insert
637	to rake (the fields)	to rake (the fields)	to rake (the fields)	to rake (the fields)	-	to rake (the fields)	-	-	to rake (the fields)	to rake (the fields)	-	-	to rake (the fields)	-	to rake (the fields)	-	-	to rake (the fields)
638	to saw	to saw	to saw	-	-	-	-	-	to saw	-	-	-	to saw	-	to saw	-	-	to saw
639	to thunder	to thunder	to thunder	to thunder	-	to thunder	-	-	to thunder	to thunder	-	-	to thunder	-	to thunder	-	-	to thunder
640	to water/sprinkle/irrigate	to water/sprinkle/irrigate	to water/sprinkle/irrigate	to water/sprinkle/irrigate	-	to water/sprinkle/irrigate	-	-	to water/sprinkle/irrigate	to water/sprinkle/irrigate	-	-	to water/sprinkle/irrigate	-	to water/sprinkle/irrigate	-	-	to water/sprinkle/irrigate
641	to(reach)	-	-	-	to(reach)	-	to(reach)	to(reach)	-	-	to(reach)	to(reach)	-	to(reach)	-	to(reach)	to(reach)	-
642	today	today	today	today	today	today	today	today	today	today	today	today	today	today	today	today	today	today
643	tomorrow	-	-	-	tomorrow	-	tomorrow	tomorrow	-	-	tomorrow	tomorrow	-	tomorrow	-	tomorrow	tomorrow	-
644	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue
645	tooth	-	-	-	tooth	-	tooth	tooth	-	-	tooth	tooth	-	tooth	-	tooth	tooth	-
646	transplant (rice seedling); insert	transplant (rice seedling); insert	transplant (rice seedling); insert	transplant (rice seedling); insert	-	transplant (rice seedling); insert	-	-	transplant (rice seedling); insert	transplant (rice seedling); insert	-	-	transplant (rice seedling); insert	-	transplant (rice seedling); insert	-	-	transplant (rice seedling); insert
647	tree	tree	tree	tree	tree	tree	tree	tree	tree	tree	tree	tree	tree	tree	tree	tree	tree	tree
648	trip-hammer for hulling rice	trip-hammer for hulling rice	trip-hammer for hulling rice	trip-hammer for hulling rice	-	trip-hammer for hulling rice	-	-	trip-hammer for hulling rice	trip-hammer for hulling rice	-	-	trip-hammer for hulling rice	-	trip-hammer for hulling rice	-	-	trip-hammer for hulling rice
649	trousers	-	-	-	trousers	-	trousers	trousers	-	-	trousers	trousers	-	trousers	-	trousers	trousers	-
650	turban,headdress	-	-	-	turban,headdress	-	turban,headdress	turban,headdress	-	-	turban,headdress	turban,headdress	-	turban,headdress	-	turban,headdress	turban,headdress	-
651	turn around	turn around	turn around	turn around	-	turn around	-	-	turn around	turn around	-	-	turn around	-	turn around	-	-	turn around
652	turtle-dove	-	-	turtle-dove	turtle-dove	turtle-dove	turtle-dove	turtle-dove	turtle-dove	-	turtle-dove	turtle-dove	turtle-dove	turtle-dove	turtle-dove	turtle-dove	turtle-dove	turtle-dove
653	twelve	twelve	twelve	twelve	-	twelve	-	-	-	twelve	-	-	twelve	-	twelve	-	-	twelve
654	twist (a tower)	twist (a tower)	twist (a tower)	twist (a tower)	-	twist (a tower)	-	-	twist (a tower)	twist (a tower)	-	-	twist (a tower)	-	twist (a tower)	-	-	twist (a tower)
655	twist (hemp fivers)	twist (hemp fivers)	twist (hemp fivers)	twist (hemp fivers)	-	-	-	-	twist (hemp fivers)	twist (hemp fivers)	-	-	twist (hemp fivers)	-	twist (hemp fivers)	-	-	twist (hemp fivers)
656	twist(rope)	-	-	-	twist(rope)	-	twist(rope)	twist(rope)	-	-	twist(rope)	twist(rope)	-	twist(rope)	-	twist(rope)	twist(rope)	-
657	two	two	two	two	two	two	two	two	two	two	two	two	two	two	two	two	two	two
658	uncle (mother's brother)	uncle (mother's brother)	uncle (mother's brother)	uncle (mother's brother)	-	uncle (mother's brother)	-	-	uncle (mother's brother)	uncle (mother's brother)	-	-	uncle (mother's brother)	-	uncle (mother's brother)	-	-	uncle (mother's brother)
659	unseam (clothing)	unseam (clothing)	unseam (clothing)	unseam (clothing)	-	unseam (clothing)	-	-	unseam (clothing)	unseam (clothing)	-	-	unseam (clothing)	-	unseam (clothing)	-	-	unseam (clothing)
660	upper;ascend	upper;ascend	upper;ascend	upper;ascend	upper;ascend	upper;ascend	upper;ascend	upper;ascend	upper;ascend	upper;ascend	upper;ascend	upper;ascend	upper;ascend	upper;ascend	upper;ascend	upper;ascend	upper;ascend	upper;ascend
661	urinate;urine	-	urinate;urine	urinate;urine	urinate;urine	urinate;urine	urinate;urine	urinate;urine	urinate;urine	-	urinate;urine	urinate;urine	urinate;urine	urinate;urine	urinate;urine	urinate;urine	urinate;urine	urinate;urine
662	use	-	-	-	use	-	use	use	-	-	use	use	-	use	-	use	use	-
663	use or lean on (a walking stick)	-	use or lean on (a walking stick)	use or lean on (a walking stick)	-	use or lean on (a walking stick)	-	-	use or lean on (a walking stick)	use or lean on (a walking stick)	-	-	use or lean on (a walking stick)	-	use or lean on (a walking stick)	-	-	use or lean on (a walking stick)
664	vat; jar	vat; jar	-	vat; jar	-	-	-	-	vat; jar	vat; jar	-	-	vat; jar	-	vat; jar	-	-	vat; jar
665	vegetable	vegetable	vegetable	vegetable	vegetable	vegetable	vegetable	vegetable	vegetable	vegetable	vegetable	vegetable	vegetable	vegetable	vegetable	vegetable	vegetable	vegetable
666	vegetable oil	vegetable oil	vegetable oil	vegetable oil	vegetable oil	vegetable oil	vegetable oil	vegetable oil	vegetable oil	vegetable oil	vegetable oil	vegetable oil	vegetable oil	vegetable oil	vegetable oil	vegetable oil	vegetable oil	vegetable oil
667	vertical, be standing	vertical, be standing	vertical, be standing	vertical, be standing	-	vertical, be standing	-	-	vertical, be standing	vertical, be standing	-	-	vertical, be standing	-	vertical, be standing	-	-	vertical, be standing
668	very	-	-	-	very	-	very	very	-	-	very	very	-	very	-	very	very	-
669	village	village	village	village	village	village	village	village	village	village	village	village	village	village	village	village	village	village
670	vomit	vomit	vomit	vomit	vomit	vomit	vomit	vomit	vomit	vomit	vomit	vomit	vomit	vomit	vomit	vomit	vomit	vomit
671	waist	-	-	-	waist	-	waist	waist	-	-	waist	waist	-	waist	-	waist	waist	-
672	wait	wait	wait	wait	-	wait	-	-	wait	wait	-	-	wait	-	wait	-	-	wait
673	wake up	-	-	-	wake up	-	wake up	wake up	-	-	wake up	wake up	-	wake up	-	wake up	wake up	-
674	walk	-	-	-	walk	-	walk	walk	-	-	walk	walk	-	walk	-	walk	walk	-
675	wall	-	-	-	wall	-	wall	wall	-	-	wall	wall	-	wall	-	wall	wall	-
676	walnut	-	-	-	walnut	-	walnut	walnut	-	-	walnut	walnut	-	walnut	-	walnut	walnut	-
677	want	want	want	want	want	want	want	want	want	want	want	want	want	want	want	want	want	want
678	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm	warm
679	wash	-	-	-	wash	-	wash	wash	-	-	wash	wash	-	wash	-	wash	wash	-
680	water	water	water	water	water	water	water	water	water	water	water	water	water	water	water	water	water	water
681	watery/thin (porridge)	watery/thin (porridge)	-	watery/thin (porridge)	-	watery/thin (porridge)	-	-	-	watery/thin (porridge)	-	-	watery/thin (porridge)	-	watery/thin (porridge)	-	-	watery/thin (porridge)
682	wave; wield	wave; wield	wave; wield	wave; wield	-	wave; wield	-	-	wave; wield	wave; wield	-	-	-	-	wave; wield	-	-	-
683	we	-	-	-	we	-	we	we	-	-	we	we	-	we	-	we	we	-
684	we(inclusive)	-	-	-	we(inclusive)	-	we(inclusive)	we(inclusive)	-	-	we(inclusive)	we(inclusive)	-	we(inclusive)	-	we(inclusive)	we(inclusive)	-
685	wear	wear	wear	wear	wear	wear	wear	wear	wear	wear	wear	wear	wear	wear	wear	wear	wear	wear
686	wear (a bracelet)	wear (a bracelet)	wear (a bracelet)	wear (a bracelet)	-	wear (a bracelet)	-	-	wear (a bracelet)	wear (a bracelet)	-	-	wear (a bracelet)	-	wear (a bracelet)	-	-	-
687	weave	weave	weave	weave	weave	weave	weave	weave	weave	weave	weave	weave	weave	weave	weave	weave	weave	weave
688	weigh (food)	weigh (food)	weigh (food)	weigh (food)	-	weigh (food)	-	-	weigh (food)	weigh (food)	-	-	weigh (food)	-	weigh (food)	-	-	weigh (food)
689	wet	-	-	-	wet	-	wet	wet	-	-	wet	wet	-	wet	-	wet	wet	-
689	wet	-	-	-	wet	-	wet	wet	-	-	wet	wet	-	wet	-	wet	wet	-
690	what	-	-	-	what	-	what	what	-	-	what	what	-	what	-	what	what	-
691	wheat	wheat	wheat	wheat	-	wheat	-	-	wheat	wheat	-	-	wheat	-	wheat	-	-	wheat
692	wheat straw	wheat straw	wheat straw	wheat straw	-	wheat straw	-	-	wheat straw	wheat straw	-	-	wheat straw	-	-	-	-	-
693	where	-	-	-	where	-	where	where	-	-	where	where	-	where	-	where	where	-
694	whet (a knife)	whet (a knife)	whet (a knife)	whet (a knife)	-	whet (a knife)	-	-	whet (a knife)	whet (a knife)	-	-	whet (a knife)	-	whet (a knife)	-	-	whet (a knife)
695	white	white	white	white	white	white	white	white	white	white	white	white	white	white	white	white	white	white
696	who	-	-	-	who	-	who	who	-	-	who	who	-	who	-	who	who	-
697	wide	wide	wide	wide	-	wide	-	-	wide	wide	-	-	wide	-	wide	-	-	wide
697	wide	wide	wide	wide	-	wide	-	-	wide	wide	-	-	wide	-	wide	-	-	wide
698	wife	-	-	-	wife	-	wife	wife	-	-	wife	wife	-	wife	-	wife	wife	-
699	willow	willow	-	willow	willow	willow	willow	willow	-	willow	willow	-	willow	willow	willow	willow	willow	-
700	wind	wind	wind	wind	wind	wind	wind	wind	wind	wind	wind	wind	wind	wind	wind	wind	wind	wind
701	wing	-	-	-	wing	-	wing	wing	-	-	wing	wing	-	wing	-	wing	wing	-
702	winnowing fan	winnowing fan	winnowing fan	winnowing fan	-	winnowing fan	-	-	winnowing fan	winnowing fan	-	-	winnowing fan	-	winnowing fan	-	-	winnowing fan
703	wok	-	-	-	wok	-	wok	wok	-	-	wok	wok	-	wok	-	wok	wok	-
704	wolf	-	-	-	wolf	-	wolf	wolf	-	-	wolf	wolf	-	wolf	-	wolf	wolf	-
705	woman	woman	woman	-	woman	-	woman	woman	woman	woman	woman	woman	woman	woman	woman	woman	woman	woman
706	write	-	-	-	write	-	write	write	-	-	write	write	-	write	-	write	write	-
707	xlassifier (bacai)	xlassifier (bacai)	xlassifier (bacai)	xlassifier (bacai)	-	xlassifier (bacai)	-	-	xlassifier (bacai)	xlassifier (bacai)	-	-	xlassifier (bacai)	-	xlassifier (bacai)	-	-	xlassifier (bacai)
708	year	year	year	year	year	year	year	year	year	year	year	year	year	year	year	year	year	year
709	yellow	yellow	yellow	yellow	yellow	yellow	yellow	yellow	yellow	yellow	yellow	yellow	yellow	yellow	yellow	yellow	yellow	yellow
710	yesterday	yesterday	yesterday	yesterday	yesterday	yesterday	yesterday	yesterday	yesterday	yesterday	yesterday	yesterday	yesterday	yesterday	yesterday	yesterday	yesterday	yesterday
711	you(2 p.p.)	-	-	-	you(2 p.p.)	-	you(2 p.p.)	you(2 p.p.)	-	-	you(2 p.p.)	you(2 p.p.)	-	you(2 p.p.)	-	you(2 p.p.)	you(2 p.p.)	-
712	younger brother	younger brother	younger brother	younger brother	-	younger brother	-	-	younger brother	younger brother	-	-	younger brother	-	younger brother	-	-	younger brother
713	younger sister	younger sister	younger sister	younger sister	-	younger sister	-	-	younger sister	younger sister	-	-	younger sister	-	younger sister	-	-	younger sister
714	your(sg)	-	-	-	your(sg)	-	your(sg)	your(sg)	-	-	your(sg)	your(sg)	-	your(sg)	-	your(sg)	your(sg)	-
