ID	ENGLISH	POS GLOSS
14068	socialist (n.)	zapi duhnak/tthatnak kha pumpak duhnak/tthatnak nakin a biapi deuh ti in a zummi
14069	socialistic (adj.)	zapi duhnak he aa pehtlaimi
14070	socialize (v.)	i hawikomh.
14071	socially (adv.)	zapi he um tinak lei ahcun
14072	society (n.)	mibu
14073	sociological (adj.)	minung bu he aa pehtlaimi thil kong a simi
14074	sociology (n.)	minung bu umtuning kong cawnnak
14075	sock (n.)	hmawca a tawi phun
14076	socket (n.)	thil khumhnak kua, tahchunhnak ah kan mitmu umnak kua hna hi sockets an si.
14077	sod (v.)	ram khohter, ram in huh.
14078	soda (n.)	sawda
14079	soda water (n.)	sawda ti.
14080	sodden (adj.)	a cin cikcekmi
14081	sodium (n.)	sawda phun khat
14082	soever (adv.)	ahohmanh zeihmanh, zeitluk hmanh.
14083	sofa (n.)	tthutdan nem
14084	soft (adj.)	a nemmi
14085	soft drink (n.)	zu a si lomi dinmi , theithu hang te hna bantuk soft
14086	water (n.)	ti nem, thil suknak i a thami, ruahti.
14087	soften (v.)	nemter
14088	softness (n.)	nemak.
14089	softwood (n.)	thing nem pawl, farthingte hna bantuk.
14090	soggy (adj.)	a cin cikcekmi
14091	soh (n.)	hla aw min pakhat; doh, ray, me, fah, soh, lah, te, doh, hna hi hla aw an si.
14092	soil (n.)	vawlei
14093	soil (v.)	hnawmhter, thurter.
14094	sojourn (v.)	va um ta, va tlawn ta, va pem ta.
14095	sojourner (n.)	a va pem tami.
14096	Sol (n., prop.)	nika.
14097	solace (n.)	hnangamnak.
14098	solar (adj.)	ni he aa pehtlaimi
14099	sold (v.)	past tense and past participle of sell, zuar.
14100	solder (v.)	thirsengh
14101	soldier (n.)	ralkap
14102	soldierly (adj.)	ralkap he aa pehtlaimi.
14103	sole (adj.)	lawnglawng
14104	sole (n.)	1. kepha. 2. kedan tanglei. 3. kedan tanglei benh.
14105	solemn (adj.)	rumra a ummi , lungtaktein tuahmi
14106	solemnity (n.)	rumra
14107	solemnize (v.)	biaknak lei phung ningin rumra um tein tuah
14108	solicit (v.)	fak piin nawl , hal
14109	solicitous (adj.)	fak piin nawlnak/halnak tuahmi.
14110	solicitor (n.)	haltu, nawltu, sihni.
14111	solicitude (n.)	zaangfahnak , zawnruahnak , lungretheihnak
14112	solid (adj.)	a khalmi , ti a si lomi
14113	solidarity (n.)	i hlumte i umnak , lung i khahnak , hmunkhat i um khawhnak
14114	solidify (v.)	khal , ti hna a khal khi
14115	solidity (n.)	khalnak , hahnak
14116	soliloquize (v.)	mah le ma i chawnh/mah le nah bia i ruah.
14117	soliloquy (n.)	1. mah le mah lawng i chawnh/bia i ruah. 2. Nawlcawngtu nih zapi hmai biachimnak ttheng cungah amah lawngin a dir tik i bia a chimmi. A ngaitu zapi nih khan cun a chimmi kha an hngalh ko, sihmanhselaw nawlcawngtu a hawile nih khan cun an hngal lo. Cucu soliloquy cu a si.
14118	soliped (n.)	saram an ketin a te lomi pawl.
14119	solitaire (n.)	pakhat lawng nih i celhmi lentecelhnak
14120	solitary (adj.)	pakhat lawng a simi , mah lawng a simi
14121	solitude (n.)	mah lawngte in umnak , hawi he um lo
14122	solo (n.)	pakhat lawng nih sakmi hla
14123	solo (adj.)	pakhat lawng nih tuahmi.
14124	soloist (n.)	a pak in hla a sami
14125	solstice (n.)	a sullam cu ni a dir tinak a si. Cucu equator in Chaklei i a si ah Thlanglei i a si ah ni a hlat bik caan kha a si Tthal caan ah June 21 asiloah 22 a si i cucu Summer Solstice ti a si, cucu ni a sau bik caan a si; cun khuasik ah December 21 a si lo ah 22 ah a si i cucu Winter Solstice ti a si i ni a tawi bik caan a si.
14126	solubility (n.)	ti i can khawhnak
14127	soluble (adj.)	ti i cang khomi. e.g. Salt is soluble = Cite cu ti ah a cang kho.
14128	solution (n.)	1. ti i can khawhnak. 2. aphi chuak hmuh khawhnak. 3. a sullam fianternak.
14129	solve (v.)	fianter, aphi chuak hmuh khawh.
14130	solvency (n.)	leiba cham khawhnak
14131	solvent (adj.)	1. leiba a cham khomi. 2. ti ah a cang khomi.
14132	sombre (adj.)	mui khepkhup pit khepkhup in a ummi.
14133	sombrero (n.)	lukhuh tlang kau phun
14134	some (adj.)	1. tlawmpal. 2. a cheu cu; e.g. Some dogs are large = Uico a cheu cu an ngan. 3. tluk hrawng; e.g. Some seventy men worked here = Hika ah hin minung sawm sarih tluk hrawng rian an ttuan.
14135	some how or other (adv.)	a zei maw ti tuktak in.
14136	somebody (pron.)	aho nih dik
14137	somehow (adv.)	zei maw ti in
14138	someone (n.)	aho nih dik.
14139	somersault (v.)	bingtalet in rilh.
14140	something (pron.)	thil zeimaw
14141	sometime (adv.)	zeimaw tikah
14142	sometimes (adv.)	zeimaw caan ah
14143	somewhat (adv.)	zeimaw tiin
14144	somewhere (adv.)	khuazeimaw ah
14145	somewhile (adv.)	zeitik maw ah.
14146	somnambulism (n.)	i hngilh bu in kal
14147	somnambulist (n.)	i hngilh bu in a kalmi
14148	somnolent (adj.)	mit a kumi
14149	son (n.)	fapa , ram chungmi
14150	son-in-law (n.)	fanu pasal
14151	song (n.)	hla
14152	songbird (n.)	hlasak thiammi vate.
14153	songster (n.)	htaphuahthiam.
14154	songstrees (n.)	hlaphuahthiamnu.
14155	sonnet (n.)	hla phun khat , tlang hleili lengmang a si i tlang khat ah awfang pahra lengmang a ummi
14156	sonny (n.)	pate, dawtnak in ngakchia pa pawl kawhnak.
14157	sonorous (adj.)	a aw aa dawh ngaimi
14158	soon (adv.)	zau; e.g. I shall go away soon = Ka kal zau lai.
14159	soot (n.)	ttumtting.
14160	soothe (v.)	a fahnak nemter , ngakcia a ttapmi hnemh i ngamter
14161	soothsayer (n.)	hmailei thil um ding ka chim kho aa timi , khuavang
14162	sooty (adj.)	ttumtting a khatmi
14163	sop (v.)	1. ti i chiah; e.g. Sop the bread in milk = Changreu kha cawhnuk ah ciah. 2. dawp, hulter; e.g. Please sop up the water with a piece of cloth = Ti kha puanchia in dawp. 3. cin cikcek; e.g. We are sopping wet = Kan kechik in kan luthlung tiang kan cin cikcek.
14164	sop (n.)	ti i ciahmi changreu hlum.
14165	sop up (v.)	dawp, hulter; e.g. Please sop up the water with a piece of cloth = Ti kha puanchia in dawp.
14166	sophism (n.)	thil kong chimnak le ceihnak i a hmaanmi a si ttung lomi duh awk ngai si dawh a simi, mi a ping i a kalpitu a simi.
14167	sophist (n.)	a fim ngai ko na i thil kong i ceihnak le i ruahnak ah a ping i mi a kalpimi.
14168	sophisticated (adj.)	vawlei cung thil umtuning, khuapi chung thil umtuning a hngalmi.
14169	sophistication (n.)	khuapi chung tlonlenning hngalhnak.
14170	sophistry (n.)	a hmaanmi a lo ttung i a hmaan ttung lomi, a ping i mi a kalpitu fimnak.
14171	sophomore (n.)	High School asiloah College ah kum hnihnak a simi siangngakchia.
14172	soppy (adv.)	a ciinmi
14173	soprano (n.)	hla sak tik i aw sang bik ; supareno kan timi khi
14174	sorcerer (n.)	eihthiam
14175	sorceress (n.)	eihthiammi nu
14176	sorcery (n.)	doih , eih
14177	sordid (adj.)	a thur a hnawmmi, aa filhhnawmmi.
14178	sore (n.)	hma
14179	sore (adj.)	a fakmi; e.g. Mary has a sore throat = Mary a hrom a fak.
14180	sorghum (n.)	fu phun khat
14181	sorority (n.)	far rual sinak, a sullam cu college ah maw sianginn pakhatkhat ah maw nu nih khan bu an ser i far rual kan si an ti.
14182	sorrel (adj.)	azawng senduk a simi anthor sen.
14183	sorrow (n.)	ngaihchiatnak
14184	sorrowful (adj.)	a ngaih a chiami
14185	sorrowfully (adv.)	ngaihchia ngaiin.
14186	sorry (adj.)	ngaihchia , apori ti ngai; e.g. I am sorry that you could not come = Na rat khawh lo cu a poi ka ti ngai.
14187	sort (n.)	phun; e.g. I like this sort of mango best = Hi hai phun hi ka duh bik. out of sorts = i nuam lo, siarem lo i um.
14188	sort (v.)	thim; e.g. He sorted out the best apples = Epal ttha bikbik kha a thim hna.
14189	sortie (n.)	an kulhmi hna ralkap, a kulhtu hna ralkap doh awk i phutti i an hung chuah khi.
14190	SOS (abbrev.)	a saunak cun Save Our Souls = Kan nunnak kha kan khamh tuah u, ti a si, harnak a tongmi hna nih bawmhnak halnak ca i an thanhmi hmelchunhnak a si.
14191	sot (n.)	zu din tuk ruang i a thluak a ttha ti lomi
14192	sottish (adj.)	zu din i a hrutmi
14193	sough (v.)	far lak kan i chawh i farhnah thli nih a chem hna i a thawng khi; e.g. The pines sough when the wind blows = Thli a hran tikah far hla an sa.
14194	sough (n.)	cu bantuk aw khi
14195	sought (v.)	past tense and past participle of seek, kawl.
14196	soul (n.)	1. nunak. 2. thlarau. 3. minung.
14197	soulful (adj.)	mi cungah dawtnak lungthin a ngeimi
14198	soulless (adj.)	mi cungah dawtnak lungthin a ngei lomi.
14199	sound (n.)	1. thawng, khuangtum thawng. 2. tili ngan deuh pahnih a pehtu tili hme deuh a zalmi.
14200	sound (v.)	1. thawngthanh. 2. ti a thuh le a puanh tah. 3. mi nih an ruahning va hneksak i hngalh vaa zuam.
14201	sound (adj.)	a dammi; e.g. He is in sound health = A ngan a dam; e.g. This is a sound man = Hi pa hi mingandam a si.
14202	sounder (n.)	1. thawng a umtertu. 2. ti a thuh a puanh a tahtu.
14203	sounding (n.)	1. ti a thuh puanh hri par i a ritmi thil an thlaih i an tah khi. 2. hi bantukin an tahnak in ti cu zeitluk dah a thuk ti an hnglahmi.
14204	soundings (n.)	(plural) hri in a thuh puanh an tahmi, rili kam an naih pah cang i tak khawh a sinak hmun. We are in soundings asiloah we have come into soundings ti cu tikam kan naih cang i ti cu pe 600 nakin a thuk ti lo tinak a si.
14205	soundless (adj.)	1. thawng a ngei lomi. 2. ti a thuh tuk i a ne phak khawh lomi.
14206	soundly (adv.)	dam tein, ttha tein.
14207	soundness (n.)	1. ngandamnak. 2. bochan awk tlak sinak.
14208	soup (n.)	tihang
14209	sour (adj.)	a thormi
14210	source (n.)	hram , tiva hna , cerh
14211	south (n.)	thlanglei
14212	South Pole (n., prop.)	vawlei thlanglei a donghnak bik Thlanglei Pol timi.
14213	southeast (n.)	nihchuah-thlanglei.
14214	southeaster (n.)	nichuah-thlanglei in a hung hrangmi thli
14215	southeasterly (adj.)	nichuah-thlanglei in a hung hrangmi.
14216	southeastern (adj.)	nichuahthlanglei ah a ummi.
14217	southerly (adj.)	thlanglei a hoihmi , thlanglei hoih in
14218	southern (adj.)	thlanglei simi.
14219	Southern Hemisphere (n., prop.)	vawlei pum a laifang equator in cheu i thlanglei a hrap cheu.
14220	southernmost (adj.)	thlanglei bik a simi
14221	southward (adj.)	thlanglei kam ummi; e.g. The garden is on the southward slope of the hill = Dum cu tlang thlanglei kap ah a um.
14222	southward (adv.)	thlanglei ah; e.g. He walked southward = Thlanglei ah a kal.
14223	southwards (adv.)	thlanglei ah
14224	southwest (n.)	nitlak thlanglei.
14225	southwester (n.)	nitlak thlanglei in a hung hrangmi thli
14226	southwesterly (adv.)	nitlak thlanglei ah.
14227	southwestern (adj.)	nitlak thlanglei a simi.
14228	souvenir (n.)	philh lonak caah tuahmi thil
14229	sovereign (n.)	siangpahrang
14230	sovereign (adj.)	1. a ngan bikmi, a biapi bikmi. 2. nawl ngeitu bik a simi. 3. cozah dang nih si loin amah tein aa ukmi.
14231	sovereignty (n.)	siangpahrang sinak.
14232	soviet (n.)	Russia holh a si i khawngsil (council) tinak a si
14233	sow (v.)	1. thlaici tuh. 2. thlaici vorh.
14234	sow (n.)	vokpi
14235	sown (v.)	past participle of sow, tuh
14236	soybean (n.)	behrum, soya bean ti zongin ttial a si.
14237	space (n.)	1. hmun, a lawngmi hmun 2. a hlat a naih; e.g. The road is bad for the space of two miles = Lam cu khan hnih chung a chia.
14238	spacious (adj.)	hmun lawng kaupi a simi
14239	spade (n.)	hmuiper
14240	spaghetti (n.)	khohsuai phun khat.
14241	span (v.)	1. i thlai; e.g. The bridge spanned over the railway lines = Hlei cu tlanglawng lam cungah aa thlai. 2. khap in tah.
14242	span (n.)	1. khap khat, lehhmah peruk tluk. 2. caan tawite chung. 3. tung le tung karlak; e.g. The bridge crossed the river in a single span = Hlei cu tiva cungah tung le tung karah aa thlai. 4. tuah khat sattil tuah khat.
14243	spangle (v.)	cu bantuk tamhnak thil benh thup khi; e.g. Her dress was spangled with gold = A hni ah sui aa benh thup; e.g. The sky is spangled with stars = Van ah arfi an i benh thup.
14244	spangle (n.)	tamhnak ca i hmanmi thil tleu tete i dawh seh ti i benh tungmi khi.
14245	Spaniard (n., prop.)	Spain rammi.
14246	Spanish (n., prop.)	Spain mi holh.
14247	Spanish (adj., prop.)	Spain ram le mi he aa pehtlaimi.
14248	spank (v.)	bengh
14249	spanking (adj.)	a bengh in aa bengmi; A spanking breeze = Thli a hrang siahmahmi.
14250	spare (v.)	1. tuah loin um; e.g. Spare the rod and spoil the child = Fung in tu loin um law ngakchia cu na hrawh ko lai. 2. zuah, nganh, chiahpiak; e.g. Spare a few bars of soap for me = Chatpiat tlawmpal in rak ka zuah/nganh/chiahpiak te.
14251	spare (n.)	hman rih loin i chiahmi thil.
14252	sparing (adj.)	i sumren ngaiin thil a hmangmi
14253	sparingly (adv.)	sumren ngaiin.
14254	spark (n.)	meici
14255	sparkle (v.)	a ci a choi cukmak.
14256	sparkling (adj.)	a tleu durhmarhmi
14257	sparrow (n.)	pithlung
14258	sparse (adj.)	a panmi, a tlawmmi; e.g. Sparse hair = Sam a panmi.
14259	spasm (n.)	hnuhdawh
14260	spasmodic (adj.)	1. hnuhdawh bantukin a ummi, hnuhdawh a lomi. 2. caan ngei loin a hung chuak dukmi.
14261	spasmodically (adv.)	hnuhdawh bantukin dutdut tiin hung um in.
14262	spat (v.)	past tense of spit, cilchak.
14263	spat (n.)	1. kedan kemit hup. 2. cengkol ti, cengkol fa.
14264	spatial (adj.)	hmun he aa pehtlaimi
14265	spatter (v.)	1. theh; e.g. He spatters mud on the wall = Vampang ah tlak a theh. 2. phep; e.g. The bus spatters us with mud = Baska nih leicet a kan pheh. 3. ruah a sur thiaimal khi; e.g. Rain spatters on the road = Lam cungah ruah a sur thiaimai. 4. a surh in surh thuaimai; e.g. Bullets spattered the wall = Kuanfang nih vampang cu a surh thuaimai.
14266	spatula (n.)	si thuhnak ca i hmanmi namte bantuk , a fang a kau i a nemmi
14267	spavin (n.)	rang zawtnak , a thaphet a phinter i a baitertu
14268	spawn (n.)	nga tehna sawngpate tehna an ti, cun an fale a keuhka tete zong.
14269	spawn (v.)	titit, fahrin.
14270	speak (v.)	holh, chim; e.g. He speaks English = Mirang holh in a holh; speak distinctly = Fiang tein chim speak out = thang le fiang in chim so to speak = cu bantukin a si hei ti awk a si ko.
14271	speaker (n.)	biachimtu, khua khannak i upa bik.
14272	speaking terms (n.)	thil umtu ningcang; e.g. They were not on speaking terms = An umtuning cu a chawnh zong an i chawn lo.
14273	spear (n.)	fei
14274	spear (v.)	fei in chunh
14275	spearman (n.)	hriamnam ah fei a hmangmi.
14276	spearmint (n.)	tihang ca hmanmi rimthaw phun khat
14277	special (adj.)	a khunhlei a simi , sapesial
14278	specialist (n.)	a khunhlei in a thiammi, thiam khunnak a ngeimi; e.g. Eye specialist = Mit lei i a thiam khummi.
14279	speciality (n.)	a khunhlei in cawnmi thil , tuahmi thil
14280	specialization (n.)	khunhlei in tuahnak/cawnnak/thiamnak
14281	specialize (v.)	a khunhlei in cawn/thiam
14282	specially (adv.)	a khunhlei ngaingai in.
14283	specie (n.)	thir tangka; e.g. Silver dollars are specie = Ngun dollar cu tangka ngun phar an si.
14284	species (n.)	phun; e.g. Wheat is a species of grass = Changvut hi ram phun khat a si.
14285	specific (adj.)	1. cu sette kha sette timi; e.g. There is no specific reason for their quarrel = Cu set ruangah an i si ti awk a um lo. 2. mah bing ta/ca a simi; e.g. This is a specific gift for me = Hihi keimah bing ca laksawng a si.
14286	specifically (adv.)	cu sette kha sette tiin.
14287	specification (n.)	cuti set in siseh ti tuaknak
14288	specify (v.)	cuti set in siseh ti tuaknak
14289	specimen (n.)	thil tam nawn chungin an sining langhtertu ding ca i tlawmpal lakmi, cu lakmi cu a dang he zohchih tik i an sining langhtertu a simi; e.g. Specimen signature = Lehhmah thutmi a lehhmah thutmi a si ti a langhtertu.
14290	specious (adj.)	leng lang i dawh ngai i ser i a chung i a ttha ttung lomi.
14291	speck (n.)	1. zeilo aa nehmi. 2. thil hmete; e.g. I have a speck in my eye = Ka mit chungah mithnawm a um.
14292	speckle (n.)	ttial hme tete in a nak in aa dehmi.
14293	speckle (adj.)	hmai a deh tete um; e.g. His face is speckled with freckles = A hmai cu phihlik ek in a ttial dih.
14294	spectacle (n.)	zoh dawh, zoh phu.
14295	spectacles (n.)	mithman , tarmit
14296	spectacular (adj.)	zapi zoh awk i aa dawh ngaimi, a sung lawi ngaimi.
14297	spectator (n.)	zohtu , cuantu
14298	specter - U.S.  muthla, mithla, thlarau.
14299	spectral (adj.)	muthla, mithla, thlarau he aa pehtlaimi.
14300	spectre (n.)	British. muthla, mithla, thlarau.
14301	spectroscope (n.)	ceunak nichawn , tahnak seh
14302	spectrum (n.)	azawng bu khat; e.g. A rainbow has all the colours of the spectrum: red, orange, yellow, green, blue, indigo and violet = Chuncha nih khin azawng bu khat chung azawng dihlak a ngeih hna: a sen, theithu, a eng, a hring, a dum, a pawl le a senduk.
14303	speculate (v.)	1. thukpi in ruah. 2. thil a man a ttum a kai lengmang lio i a man a ttha ttheo lai ti ruahnak in thil rak i cawk ong.
14304	speculation (n.)	1. thukpi in ruahnak. 2. thil zuar awkah rak i cawk ong.
14305	speculative (adj.)	khua a ruat ngaimi
14306	speculator (n.)	thil aa cawk ongmi, ticket hna a rak i cawk ong i a zuar tthanmi.
14307	sped (v.)	past tense and past participle of speed, khulrang in kal; zong speeded.
14308	speech (n.)	zapi hmai i biachimmi , holh
14309	speechless (adj.)	a holh kho lomi , thinthun tuk i holh kho loin a ummi , holh awk hngal loin a ummi
14310	speed (n.)	zei tluk rang in dah a kal/a tlik tinak; e.g. What is the speed of the train = Tlanglawng cu zei tluk rang in dah a kal?
14311	speed (v.)	khulrangin tlik.
14312	speed reading (n.)	mi hmurphun zoh in a chimmi hngalh khawhnak.
14313	speeder (n.)	1. khulrangin a tlimi. 2. a khul a rangmi.
14314	speedily (adv.)	khulrang ngaiin.
14315	speedometer (n.)	zei tluk rang in dah a kal ti tahnak seh.
14316	speedway (n.)	khulrang ngaiin mawttaw in kalnak ding ca i an tuahmi lam.
14317	speedwell (n.)	pangpar phun khat.
14318	speedy (adj.)	a khul a rangmi.
14319	spell (v.)	1. cafang ttial; e.g. How do you spell your name = Zeitindah na min na ttial? 2. cafang komh; e.g. When C A T are put together they spell cat = C A T cahang hna cu komh tikah cat a chuak. 3. chuahter; e.g. Delay spells danger = Rauh nih ttih awk a chuahter.
14320	spell (n.)	1. camhthiammi nih camhnak i an hmanmi bia. 2. aidi a ngei ngai i mi a suai kho ngaimi bia. 3. can; e.g. The child has spells of coughing = Ngakchia cu a khuh lengmang.
14321	spellbound (n.)	camhnak biatlaih hna bantukin tlaih; e.g. The audience was spellbound by his rhetoric = A biachim thiamnak nih a hamh in a hamh hna.
14322	speller (n.)	1. cafang komh a cawngmi. 2. cafang komh cawnnak cauk.
14323	spelling (n.)	cafang komh
14324	spelt (v.)	past tense and past participle of spell, ttial, cafang komh; zong spelled.
14325	spelt (n.)	changvut phun khat.
14326	spend (v.)	1. tangka hman. 2. caan hman; e.g. I want to spend Christmas at home this year = Tukum cu inn ah Khrimas hman ka duh.
14327	spendthift (n.)	tangka a sawksammi
14328	spent (adj.)	thabat, thadit.
14329	spent (v.)	past tense and past participle of spend, hman.
14330	sperm (n.)	baw
14331	sperm whale (n.)	huel nga phun khat
14332	spew (v.)	luak , chungin chuahter , chafak
14333	sphere (n.)	1. a pummi thil, pumpululh bantuk a simi; e.g. A football (soccer ball) is a sphere = Pumpululh hi a pummi thil a si. 2. umnak hmun. 3. tlonlennak hmun.
14334	spherical (adj.)	a pummi.
14335	sphinx (n.)	lung milem nganpi a lu minung lu a si i a tak chiandeih tak simi
14336	spice (n.)	tihang ttamh , masala
14337	spiciness (n.)	tilang tamhnak in tamh i a thawtnak.
14338	spick-and-span (adj.)	thar hlirhhlerh tein thiang hirhiar tein a ummi
14339	spicy (adj.)	hang tamh in tamhmi
14340	spider (n.)	sawmpalak , maimomh
14341	spied (v.)	past tense of spy, ngiat, dothlat, sungthoh.
14342	spigot (n.)	tibel awng hru (ti um a ti chuahnak awng hruknak).
14343	spike (n.)	1. thirkhenh ngan pipi a zummi. 2. kedan tanglei thir zum khenhmi. 3. thir zum he aa lomi favui.
14344	spike (v.)	thir zum in khenh.
14345	spikenard (n.)	zihmui phun khat
14346	spill (v.)	1. thlet ti thlet; e.g. It's no use crying over spilled milk = Thletmi cawhnuk tahhnawh cu zeihmanh a tthahnem lo. 2. thlawt. 3. bungh.
14347	spill (n.)	thletnak, thletmi thil bunghnak, bunghmi thil.
14348	spillway (n.)	ti liamnak ding i tuahmi tilam
14349	spilt (v.)	past tense and past participle of spill; zong spilled.
14350	spin (v.)	1. la an thlur khi, la zelh, la kher. 2. khulrang tein i mer, khulrang tein i zit.
14351	spin (n.)	khulrang tein i mernak, i zitnak.
14352	spinach (n.)	antam phun khat , hnahnem bantuk a simi
14353	spinal (adj.)	keng ruh he aa pehtlaimi
14354	spinal cord (n.)	keng ruh chung thlik
14355	spindle (n.)	lathlur , na mermi thil pawl
14356	spindle-legged (adj.)	a ke a sau i a thiami.
14357	spindling (n.)	a tung a sang ngai i a der ttungmi.
14358	spindrift (n.)	tilet nih a hun vorhmi tiphul
14359	spine (n.)	1. kengruh. 2. hling, hreng hling le sakuh hling.
14360	spineless (adj.)	1. kengruh a ngei lomi. 2. a ral a chiami.
14361	spinet (n.)	awdawh tumnak i hmanmi thil phun khat , piano bantuk
14362	spinnaker (n.)	tilawng puanzar kaupi phun khat
14363	spinner (n.)	mi sisih saram siseh a zit in aa zimi.
14364	spinning-jenny (n.)	lazelh/lakhernak thir phun khat spinning
14365	wheel (n.)	lakhernak thir phun khat.
14366	spinster (n.)	va ngei loin a ummi nu.
14367	spiny (adj.)	hling le so a tammi
14368	spiracle (n.)	saram le butit khaubawk nih an pum i thaw chuahnak awng hme tete an ngeihmi
14369	spiral (n.)	aa kualmi thil a chonh in a kual aa chonhmi
14370	spire (n.)	1. inn a sannak bik a va zumnak te khi. 2. ram hnah bantukin a zum ziahmahmi thil.
14371	spirit (n.)	1. lungthin. 2. thlarau. 3. zureu.
14372	spirited (adj.)	lungtho thatho ngai a simi
14373	spiritless (adj.)	lungthawhnak zeihmanh a ngei lomi
14374	spiritual (adj.)	thlarau he aa pehtlaimi
14375	spiritualism (n.)	mithi thlarau he i chawnh khawh a si ti zumhnak
14376	spiritualist (n.)	mithi thlarau he i chawnh khawh a si ti a zummi.
14377	spirituality (n.)	thlarau lei thil i i zuamnak
14378	spiritualize (v.)	thlarau lei thil i canter
14379	spirituous (adj.)	zureu a simi thil
14380	spit (n.)	1.cil. 2.tuthul.
14381	spit (v.)	cilchak.
14382	spite (v.)	ing puanter, hnahnawhnak pek; e.g. The neighbours/neighbors let their radios blare just to spite us = Kan innpa hna nih an radio thangpi in an chuah cu kanmah ing puanter an duh ca sawsawh a si.
14383	spite (n.)	1. mi cung i tthat lonak tuah duhnak lungthin. 2. lungchung i uamnak. in spite of = nain; e.g. The children went to school in spite of the rain = Ruah a sur nain ngakchia cu sianginn an kai ko.
14384	spitfire (n.)	mi thintawi.
14385	spittle (n.)	cil.
14386	splash (v.)	1. ti theh. 2. ti chung i thil pakhatkhat a tlak i ti a pehter khi. 3. tikam i ti a hun i bengh khi.
14387	splash (n.)	tikam i a hun i bengmi tisuar.
14388	splatter (v.)	ti theh, ti peh.
14389	spleen (n.)	la, minung kan chung i a ummi la.
14390	splendid (adj.)	a ttha ngaingaimi , aa dawh ngaingaimi
14391	splendor (n.)	U.S. 1. a cerdukmi thil. 2. sunparnak le lianhngannak.
14392	splendour (n.)	British. 1. a cerdukmi thil. 2. sunparnak le lianhngannak.
14393	splenetic (adj.)	1. la he a pehtlaimi. 2. a ing a chiami, a tin a tawimi.
14394	splice (v.)	sulhthonh in peh
14395	splice (n.)	tlah.
14396	splint (n.)	1. thinghniar. 2. ruh kiah tik i temchihmi tem.
14397	splinter (n.)	1. thinghniar 2. thing pelpawi. 3. thlalang kuai a pelpawi.
14398	splintery (adj.)	a per (peer) kho zaumi thing, thing pelpawi tampi umnak a simi.
14399	split (v.)	cheu , ceh
14400	split (n.)	cheunak
14401	split second (n.)	mitthep ah
14402	splotch (n.)	hnawm i nalhmi.
14403	splutter (v.)	thinhun le lunglawmh i holh aa nawn bantukin holh cukmak.
14404	splutter (n.)	thil kuaimi a awnh thawng khi.
14405	spoil (v.)	hrawh
14406	spoil (n.)	hranchaw.
14407	spoiler (n.)	1. hrawktu. 2. hranchaw latu.
14408	spoilt (v.)	past tense and past participle of spoil, hrawh; zong spoiled.
14409	spoke (v.)	past tense of speak, chim.
14410	spoke (n.)	saikel kekual/cawleng kekual i thir/thing fung tete hna khi.
14411	spoken (v.)	past participle of speak, chim.
14412	spokesman (n.)	mibu pakhatkhat nih anmah aiawhtu biachimtu ah an chiahmi
14413	sponge (n.)	ti a dawp khomi thil
14414	spongy (adj.)	ti a dawp kho a simi
14415	sponsor (n.)	mi pakhatkhat kha ka zohkhenh lai tiin biakamnak a tuahtu
14416	sponsor (v.)	ka zohkhenh lai ti in biakamnak tuah.
14417	spontaneity (n.)	amah duh tein thil a hung chuah thliahmahnak
14418	spontaneous (adj.)	amah duh tein thil a hung chuakmi
14419	spook (n.)	muthla
14420	spooky (adj.)	muthla bantuk , a hmaan lomi
14421	spool (n.)	laril zelhnak fung , film zelhnak fung
14422	spoon (n.)	darkeu
14423	spoonful (n.)	keu khat a khatmi
14424	spoor (n.)	saram sul
14425	sporadic (adj.)	i varh nawn i a hung ummi thil
14426	sporadically (adv.)	i varh nawn i varh nawn in.
14427	spore (n.)	par loin kung thar i a kheu (karh) khomi
14428	sport (n.)	lentecelhnak. make sport of = nihchuak i saih.
14429	sport (v.)	lente i celh.
14430	sportive (adj.)	lentecelh a duh ngaimi
14431	sports (n.)	lentecelhnak.
14432	sportsman (n.)	lente aa celh zungzalmi.
14433	sportsmanship (n.)	lentecelhtu lungthin angeimi.
14434	spot (n.)	1. hmelehunhnak. 2. thil hnawm aa nehmi. 3. zeilo hnawm i angki hawi hna a sehnak hmun hi. on the spot = cu hmun bak ah cun.
14435	spotless (adj.)	1. dotla. 2. soisel awk zeihmanh a um lomi.
14436	spotlight (n.)	1. drama tuahnak i a tuahtu pawl fiang khun in a vun ceuhtu hna ceu. 2. mi zapi an mit aa futnak.
14437	spotted (adj.)	1. do a tla lomi. 2. a ttialmi. 3. hnawm nih a sehmi.
14438	spotty (adj.)	1. cikdot in a ummi. 2. hnawm nih a sehnak a ummi thil.
14439	spouse (n.)	nupi zong a si va zong a si
14440	spout (v.)	ti a cik in cik; e.g. Water spouts from the breach in the pipe = Pep a kuainak in ti a cik in a cik.
14441	spout (n.)	1. a cik in aa cikmi ti. 2. tiluanternak pep. 3. lakphak chuannak ketali hmur.
14442	sprain (v.)	merh; e.g. He sprained his ankle = A fengbeo aa merh.
14443	sprain (n.)	i merhnak
14444	sprang (v.)	past tense of spring, hlawh, peh.
14445	sprawl (v.)	1. ke le kut samh riangmang i bawh. 2. cattial tik i kutttial daithlang ngai i arthai bantukin ttial.
14446	spray (v.)	tidor dip tete i kah siahmah khi.
14447	spray (n.)	tidor dip tete.
14448	sprayer (n.)	1. tidor dip tete kahnak seh, tizik. 2. a kaptu.
